Pack														Map													Zone																																																																																									Connections													
Field count							Options																					Type					Restrictions				Player towns					Neutral towns					Town types										Minimum mines							Mine Density							Terrain											Monsters													Treasure									Options												Zones		Options							Restrictions			
																											3	x				15	1	6	8	8	4		1								x	x	x	x	x	x	x	x	x	x	1		1				1											x								avg		x	x	x	x	x	x	x	x	x	x	x	500	3000	6	3000	6000	2	15000	20000	1				200 20					3		1	x	3	14	6000							1	6	8	8	
																											4		x			25	1	6	8	8	7		1								x	x	x	x	x	x	x	x	x	x	1	1	1	1	1	1	1										x									avg		x	x	x	x	x	x	x	x	x	x	x	500	3000	6	3000	6000	2	15000	20000	1				-30 -60					3		1	x	4	11								1	6	8	8	
																											5	x				15	1	6	8	8	2		1								x	x	x	x	x	x	x	x	x	x	1		1				1														x					avg		x	x	x	x	x	x	x	x	x	x	x	500	3000	6	3000	6000	2	15000	20000	1				-100 140					3		1	x	4	12								1	6	8	8	
																											6	x				15	1	6	8	8	5		1								x	x	x	x	x	x	x	x	x	x	1		1				1														x					avg		x	x	x	x	x	x	x	x	x	x	x	500	3000	6	3000	6000	2	15000	20000	1				-220 20					3		1	x	4	13								1	6	8	8	
																											7		x			20	1	6	8	8	8		1								x	x	x	x	x	x	x	x	x	x	1		1				1														x					avg		x	x	x	x	x	x	x	x	x	x	x	500	3000	6	3000	6000	2	15000	20000	1				-220 140					3		1	x	4	17	45000							1	6	8	8	
																											8	x				15	1	6	8	8	3		1								x	x	x	x	x	x	x	x	x	x	1		1				1													x						avg		x	x	x	x	x	x	x	x	x	x	x	500	3000	6	3000	6000	2	15000	20000	1				-220 -140					3		1	x	5	15	6000							1	6	8	8	
																											9		x			20	1	6	8	8	8		1								x	x	x	x	x	x	x	x	x	x	1		1				1													x						avg		x	x	x	x	x	x	x	x	x	x	x	500	3000	6	3000	6000	2	15000	20000	1				-220 -260					3		1	x	6	15	6000							1	6	8	8	
																											10	x				15	1	6	8	8	6		1								x	x	x	x	x	x	x	x	x	x	1		1				1													x						avg		x	x	x	x	x	x	x	x	x	x	x	500	3000	6	3000	6000	2	15000	20000	1				-100 -260					3		1	x	7	15	6000							1	6	8	8	
																											11			x		10	1	6	8	8																																					x									strong		x	x	x	x	x	x	x	x	x	x	x	500	3000	5	10000	15000	2							-80 -120					3		1	x	8	16	6000							1	6	8	8	
																											12			x		10	1	6	8	8																																					x									strong		x	x	x	x	x	x	x	x	x	x	x	500	3000	5	10000	15000	2							60 -60					3		1	x	9	16	6000							1	6	8	8	
																											13			x		10	1	6	8	8																																					x									strong		x	x	x	x	x	x	x	x	x	x	x	500	3000	5	10000	15000	2							-80 0					3		1	x	10	16	6000							1	6	8	8	
																											14			x		30	1	6	8	8																						2		2	2	2												x								strong		x	x	x	x	x	x	x	x	x	x	x	10000	15000	8	15000	20000	5	20000	30000	1				140 -60					3		1	x	11	16	45000							1	6	8	8	
																											15			x		30	1	6	8	8																						2		2	2	2															x					strong		x	x	x	x	x	x	x	x	x	x	x	10000	15000	8	15000	20000	5	20000	30000	1				-140 60					3		1	x	12	14	45000							1	6	8	8	
																											16			x		30	1	6	8	8																						2		2	2	2														x						strong		x	x	x	x	x	x	x	x	x	x	x	10000	15000	8	15000	20000	5	20000	30000	1				-140 -180					3		1	x	13	15	45000							1	6	8	8	
																											17			x		30	1	6	8	8																						2		2	2	2										x	x	x	x	x	x	x	x	x	x	strong		x	x	x	x	x	x	x	x	x	x	x	10000	15000	15	15000	20000	10	20000	30000	3				20 20					3		1	x														
														Newcomers	16	99	+57 +58 +59 +83 +126 +127 +128 +161 				+15 0 d d d d +27 0 d d d d +37 0 d d d d +80 0 d d d d +35 0 d d d d +16 23 d d d d +16 25 d d d d +16 28 d d d d +145 0 d d d d +10 n 15000 d d d +13 0 d d d d +13 1 d d d d +13 2 d d d d 				x		1	x				10	1	3	4	4	1		1								x	x	x	x	x	x	x	x		x	1	1	1	1	1	1	1								x											weak		x	x	x	x	x	x	x	x	x	x	x	500	3000	10	500	3000	10							40 -100					3		1	x	1	12	6000							1	3	4	4	
																											2	x				10	1	3	4	4	1		1								x	x	x	x	x	x	x	x		x	1	1	1	1	1	1	1								x											weak		x	x	x	x	x	x	x	x	x	x	x	500	3000	10	500	3000	10							-140 60					3		1	x	2	13	6000							1	3	4	4	
																											3	x				10	1	3	4	4	3		1								x	x	x	x	x	x	x	x		x	1	1	1	1	1	1	1								x											weak		x	x	x	x	x	x	x	x	x	x	x	500	3000	10	500	3000	10							40 20					3		1	x	3	12	6000							1	3	4	4	
																											4	x				10	1	3	4	4	3		1								x	x	x	x	x	x	x	x		x	1	1	1	1	1	1	1								x											weak		x	x	x	x	x	x	x	x	x	x	x	500	3000	10	500	3000	10							-320 20					3		1	x	4	14	6000							1	3	4	4	
																											5	x				10	1	3	4	4	2		1								x	x	x	x	x	x	x	x		x	1	1	1	1	1	1	1								x											weak		x	x	x	x	x	x	x	x	x	x	x	500	3000	10	500	3000	10							-60 60					3		1	x	5	13	6000							1	3	4	4	
																											6	x				10	1	3	4	4	2		1								x	x	x	x	x	x	x	x		x	1	1	1	1	1	1	1								x											weak		x	x	x	x	x	x	x	x	x	x	x	500	3000	10	500	3000	10							-320 -100					3		1	x	6	14	6000							1	3	4	4	
																											7		x			10	1	3	4	4	4	1																	x		1	1	1	1	1	1	1								x											weak		x	x	x	x	x	x	x	x	x	x	x	500	3000	10	500	3000	10							-80 -40					3		1	x	7	12	6000							1	3	4	4	
																											8		x			10	1	3	4	4	4	1																	x		1	1	1	1	1	1	1								x											weak		x	x	x	x	x	x	x	x	x	x	x	500	3000	10	500	3000	10							-200 -40					3		1	x	7	13	6000							1	3	4	4	
																											9		x			10	1	3	4	4	4	1																	x		1	1	1	1	1	1	1								x											weak		x	x	x	x	x	x	x	x	x	x	x	500	3000	10	500	3000	10							40 -40					3		1	x	8	13	6000							1	3	4	4	
																											10		x			10	1	3	4	4	4	1																	x		1	1	1	1	1	1	1								x											weak		x	x	x	x	x	x	x	x	x	x	x	500	3000	10	500	3000	10							-220 60					3		1	x	8	14	6000							1	3	4	4	
																											11		x			10	1	3	4	4	4	1																	x		1	1	1	1	1	1	1								x											weak		x	x	x	x	x	x	x	x	x	x	x	500	3000	10	500	3000	10							-320 -40					3		1	x	9	12	6000							1	3	4	4	
																											12			x		15	1	3	4	4																																														avg		x	x	x	x	x	x	x	x	x	x	x	3000	6000	9	6000	15000	6	15000	20000	1				-20 -40					3		1	x	10	13	6000							1	3	4	4	
																											13			x		15	1	3	4	4																																														avg		x	x	x	x	x	x	x	x	x	x	x	3000	6000	9	6000	15000	6	15000	20000	1				-140 -40					3		1	x	11	14	6000							1	3	4	4	
																											14			x		15	1	3	4	4																																														avg		x	x	x	x	x	x	x	x	x	x	x	3000	6000	9	6000	15000	6	15000	20000	1				-260 -40					3		1	x														
														Dwarven Tunnels	18	99	+57 +58 +59 +83 +126 +127 +128 +161 				+15 0 d d d d +27 0 d d d d +37 0 d d d d +80 0 d d d d +35 0 d d d d +16 23 d d d d +16 25 d d d d +16 28 d d d d +145 0 d d d d +10 n 15000 d d d +13 0 d d d d +13 1 d d d d +13 2 d d d d 				x		1	x				25	1	4	4	4	1	1				1				x	x	x	x	x	x	x	x	x	x	x	1	1	1	1	1	1	1								x											avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				-180 -140					3		1	x	1	11	9000							1	4	4	4	
																											2	x				25	1	4	4	4	2	1				1				x	x	x	x	x	x	x	x	x	x	x	1	1	1	1	1	1	1								x											avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				-20 -140					3		1	x	2	8	9000							1	4	4	4	
																											3	x				25	1	4	4	4	3	1				1				x	x	x	x	x	x	x	x	x	x	x	1	1	1	1	1	1	1								x											avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				140 -140					3		1	x	3	9	9000							1	4	4	4	
																											4	x				25	1	4	4	4	4	1				1				x	x	x	x	x	x	x	x	x	x	x	1	1	1	1	1	1	1								x											avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				-380 -140					3		1	x	4	17	9000							1	4	4	4	
																											5			x		25	1	4	4	4						1					x	x	x	x	x	x	x	x	x	x	1	1	1	1	1	1	1								x											avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				-290 210					3		1	x	5	12	9000							1	4	4	4	
																											6			x		25	1	4	4	4						1					x	x	x	x	x	x	x	x	x	x	1	1	1	1	1	1	1								x											avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				-340 -220					3		1	x	6	14	9000							1	4	4	4	
																											7			x		25	1	4	4	4						1					x	x	x	x	x	x	x	x	x	x	1	1	1	1	1	1	1								x											avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				-220 -220					3		1	x	7	14	9000							1	4	4	4	
																											8			x		25	1	4	4	4																						1														x	x	x	x	x	x	x	x	x	x	strong		x	x	x	x	x	x	x	x	x	x	x	15000	20000	1	10000	15000	6	3000	6000	9				-20 -20					3		1	x	8	9	12500							1	4	4	4	
																											9			x		25	1	4	4	4																								1												x	x	x	x	x	x	x	x	x	x	strong		x	x	x	x	x	x	x	x	x	x	x	15000	20000	1	10000	15000	6	3000	6000	9				140 -20					3		1	x	8	11	12500							1	4	4	4	
																											10			x		25	1	4	4	4						1					x	x	x	x	x	x	x	x	x	x	1		1												x											avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				-100 -90					3		1	x	8	18	12500							1	4	4	4	
																											11			x		25	1	4	4	4																										1										x	x	x	x	x	x	x	x	x	x	strong		x	x	x	x	x	x	x	x	x	x	x	20000	30000	1	15000	20000	6	10000	15000	9				-180 -20					3		1	x	9	12	12500							1	4	4	4	
																											12			x		25	1	4	4	4																											1									x	x	x	x	x	x	x	x	x	x	strong		x	x	x	x	x	x	x	x	x	x	x	20000	30000	1	15000	20000	6	10000	15000	9				-180 120					3		1	x	10	11	15000							1	4	4	4	
																											13			x		25	1	4	4	4						1					x	x	x	x	x	x	x	x	x	x	1		1												x											avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				-180 210					3		1	x	11	12	12500							1	4	4	4	
																											14			x		25	1	4	4	4																											1									x	x	x	x	x	x	x	x	x	x	strong		x	x	x	x	x	x	x	x	x	x	x	15000	20000	1	10000	15000	6	3000	6000	9				-280 -140					3		1	x	11	14	12500							1	4	4	4	
																											15			x		15	1	4	4	4																																				x	x	x	x	x	x	x	x	x	x	strong		x	x	x	x	x	x	x	x	x	x	x	15000	20000	1	10000	15000	6	3000	6000	9				-280 -20					3		1	x	11	15	12500							1	4	4	4	
																											16			x		25	1	4	4	4						1					x	x	x	x	x	x	x	x	x	x	1		1												x											avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				-70 210					3		1	x	11	18	12500							1	4	4	4	
																											17			x		25	1	4	4	4																									1											x	x	x	x	x	x	x	x	x	x	strong		x	x	x	x	x	x	x	x	x	x	x	15000	20000	1	10000	15000	6	3000	6000	9				-380 -20					3		1	x	12	13	15000							1	4	4	4	
																											18			x		15	1	4	4	4																																				x	x	x	x	x	x	x	x	x	x	strong		x	x	x	x	x	x	x	x	x	x	x	15000	20000	1	10000	15000	6	3000	6000	9				-120 40					3		1	x	12	16	15000							1	4	4	4	
																																																																																																																				12	17	12500							1	4	4	4	
																																																																																																																				12	18	12500							1	4	4	4	
																																																																																																																				14	15	12500							1	4	4	4	
																																																																																																																				15	17	12500							1	4	4	4	
														6LM10	32	99	+57 +58 +59 +83 +126 +127 +128 +161 				+15 0 d d d d +27 0 d d d d +37 0 d d d d +80 0 d d d d +35 0 d d d d +16 23 d d d d +16 25 d d d d +16 28 d d d d +145 0 d d d d +10 n 15000 d d d +13 0 d d d d +13 1 d d d d +13 2 d d d d 				x		1	x				30	1	8	2	8	1		1								x	x	x	x	x	x	x	x	x	x	1		1												x											avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				-120 -140					3		1	x	1	9	6000							1	8	2	8	
																											2	x				30	1	8	2	8	6		1								x	x	x	x	x	x	x	x	x	x	1		1												x											avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				-120 -60					3		1	x	1	21	3000							1	8	2	8	
																											3	x				30	1	8	2	8	3		1								x	x	x	x	x	x	x	x	x	x	1		1												x											avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				60 -200					3		1	x	1	21	3000							1	8	2	8	
																											4	x				30	1	8	2	8	4		1								x	x	x	x	x	x	x	x	x	x	1		1												x											avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				60 0					3		1	x	2	10	6000							1	8	2	8	
																											5	x				30	1	8	2	8	5		1								x	x	x	x	x	x	x	x	x	x	1		1												x											avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				240 -140					3		1	x	2	22	3000							1	8	2	8	
																											6	x				30	1	8	2	8	2		1								x	x	x	x	x	x	x	x	x	x	1		1												x											avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				240 -60					3		1	x	2	22	3000							1	8	2	8	
																											7			x		30	1	8	2	8						1					x	x	x	x	x	x	x	x	x	x		1													x											avg		x	x	x	x	x	x	x	x	x	x	x	15000	20000	1	10000	15000	6	3000	6000	9				-260 -240					3		1	x	3	21	3000							1	8	2	8	
																											8			x		30	1	8	2	8						1					x	x	x	x	x	x	x	x	x	x				1											x											avg		x	x	x	x	x	x	x	x	x	x	x	15000	20000	1	10000	15000	6	3000	6000	9				-260 40					3		1	x	3	23	3000							1	8	2	8	
																											9			x		30	1	8	2	8						1					x	x	x	x	x	x	x	x	x	x					1										x											avg		x	x	x	x	x	x	x	x	x	x	x	15000	20000	1	10000	15000	6	3000	6000	9				-20 -140					3		1	x	3	24	3000							1	8	2	8	
																											10			x		30	1	8	2	8						1					x	x	x	x	x	x	x	x	x	x						1									x											avg		x	x	x	x	x	x	x	x	x	x	x	15000	20000	1	10000	15000	6	3000	6000	9				-20 -60					3		1	x	4	22	3000							1	8	2	8	
																											11	x				30	1	8	2	8	7		1								x	x	x	x	x	x	x	x	x	x	1		1												x											avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				60 -300					3		1	x	4	23	3000							1	8	2	8	
																											12	x				30	1	8	2	8	8		1								x	x	x	x	x	x	x	x	x	x	1		1												x											avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				60 100					3		1	x	4	25	3000							1	8	2	8	
																											13			x		30	1	8	2	8						1					x	x	x	x	x	x	x	x	x	x		1													x											avg		x	x	x	x	x	x	x	x	x	x	x	15000	20000	1	10000	15000	6	3000	6000	9				140 -140					3		1	x	5	13	6000							1	8	2	8	
																											14			x		30	1	8	2	8						1					x	x	x	x	x	x	x	x	x	x				1											x											avg		x	x	x	x	x	x	x	x	x	x	x	15000	20000	1	10000	15000	6	3000	6000	9				140 -60					3		1	x	5	24	3000							1	8	2	8	
																											15			x		30	1	8	2	8						1					x	x	x	x	x	x	x	x	x	x					1										x											avg		x	x	x	x	x	x	x	x	x	x	x	15000	20000	1	10000	15000	6	3000	6000	9				380 -240					3		1	x	5	24	3000							1	8	2	8	
																											16			x		30	1	8	2	8						1					x	x	x	x	x	x	x	x	x	x						1									x											avg		x	x	x	x	x	x	x	x	x	x	x	15000	20000	1	10000	15000	6	3000	6000	9				380 40					3		1	x	6	14	6000							1	8	2	8	
																											17			x		15	1	8	2	8																						1														x	x	x	x	x	x	x	x	x	x	strong		x	x	x	x	x	x	x	x	x	x	x	20000	30000	1	15000	20000	6	10000	15000	9				-160 -320					3		1	x	6	25	3000							1	8	2	8	
																											18			x		15	1	8	2	8																								1												x	x	x	x	x	x	x	x	x	x	strong		x	x	x	x	x	x	x	x	x	x	x	20000	30000	1	15000	20000	6	10000	15000	9				-160 120					3		1	x	6	25	3000							1	8	2	8	
																											19			x		15	1	8	2	8																									1											x	x	x	x	x	x	x	x	x	x	strong		x	x	x	x	x	x	x	x	x	x	x	20000	30000	1	15000	20000	6	10000	15000	9				280 -320					3		1	x	7	21	6000							1	8	2	8	
																											20			x		15	1	8	2	8																										1										x	x	x	x	x	x	x	x	x	x	strong		x	x	x	x	x	x	x	x	x	x	x	20000	30000	1	15000	20000	6	10000	15000	9				280 120					3		1	x	7	21	6000							1	8	2	8	
																											21			x		50	1	8	2	8																						1		1	1	1										x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				-160 -240					3		1	x	8	22	6000							1	8	2	8	
																											22			x		50	1	8	2	8																						1		1	1	1										x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				-160 40					3		1	x	8	22	6000							1	8	2	8	
																											23			x		50	1	8	2	8																						1		1	1	1										x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				60 -100					3		1	x	9	10	6000							1	8	2	8	
																											24			x		50	1	8	2	8																						1		1	1	1										x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				280 -240					3		1	x	9	21	6000							1	8	2	8	
																											25			x		50	1	8	2	8																						1		1	1	1										x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				280 40					3		1	x	9	23	6000							1	8	2	8	
																																																																																																																				10	22	6000							1	8	2	8	
																																																																																																																				10	23	6000							1	8	2	8	
																																																																																																																				11	21	6000							1	8	2	8	
																																																																																																																				11	24	6000							1	8	2	8	
																																																																																																																				12	22	6000							1	8	2	8	
																																																																																																																				12	25	6000							1	8	2	8	
																																																																																																																				13	14	6000							1	8	2	8	
																																																																																																																				13	23	6000							1	8	2	8	
																																																																																																																				13	24	6000							1	8	2	8	
																																																																																																																				14	23	6000							1	8	2	8	
																																																																																																																				14	25	6000							1	8	2	8	
																																																																																																																				15	24	6000							1	8	2	8	
																																																																																																																				15	24	6000							1	8	2	8	
																																																																																																																				16	25	6000							1	8	2	8	
																																																																																																																				16	25	6000							1	8	2	8	
																																																																																																																				17	21	9000							1	8	2	8	
																																																																																																																				18	22	9000							1	8	2	8	
																																																																																																																				19	24	9000							1	8	2	8	
																																																																																																																				20	25	9000							1	8	2	8	
																																																																																																																				21	22	0	x						1	8	2	8	
																																																																																																																				24	25		x						1	8	2	8	
														8SM0c	16	99	+57 +58 +59 +83 +126 +127 +128 +161 				+15 0 d d d d +27 0 d d d d +37 0 d d d d +80 0 d d d d +35 0 d d d d +16 23 d d d d +16 25 d d d d +16 28 d d d d +145 0 d d d d +10 n 15000 d d d +13 0 d d d d +13 1 d d d d +13 2 d d d d 				x		1	x				11	1	8	2	8	1		1								x	x	x	x	x	x	x	x	x	x	1	1	1												x											avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				-60 -20					3		1	x	1	9	3000							1	8	2	8	
																											2	x				11	1	8	2	8	3		1								x	x	x	x	x	x	x	x	x	x	1		1	1											x											avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				-60 100					3		1	x	2	10	3000							1	8	2	8	
																											3	x				11	1	8	2	8	2		1								x	x	x	x	x	x	x	x	x	x	1		1		1										x											avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				60 100					3		1	x	3	13	3000							1	8	2	8	
																											4	x				11	1	8	2	8	4		1								x	x	x	x	x	x	x	x	x	x	1		1			1									x											avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				60 -20					3		1	x	4	12	3000							1	8	2	8	
																											5	x				11	1	8	2	8	5		1								x	x	x	x	x	x	x	x	x	x	1	1	1												x											avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				-70 40					3		1	x	5	9	3000							1	8	2	8	
																											6	x				11	1	8	2	8	7		1								x	x	x	x	x	x	x	x	x	x	1		1	1											x											avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				0 110					3		1	x	5	10	3000							1	8	2	8	
																											7	x				11	1	8	2	8	6		1								x	x	x	x	x	x	x	x	x	x	1		1		1										x											avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				70 40					3		1	x	5	11	6000							1	8	2	8	
																											8	x				11	1	8	2	8	8		1								x	x	x	x	x	x	x	x	x	x	1		1			1									x											avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				0 -30					3		1	x	6	10	3000							1	8	2	8	
																											9			x		11	1	8	2	8																						1		1												x	x	x	x	x	x	x	x	x	x	strong		x	x	x	x	x	x	x	x	x	x	x	20000	30000	1	15000	20000	6	10000	15000	9				-100 -60					3		1	x	6	11	6000							1	8	2	8	
																											10			x		11	1	8	2	8																									1	1										x	x	x	x	x	x	x	x	x	x	strong		x	x	x	x	x	x	x	x	x	x	x	20000	30000	1	15000	20000	6	10000	15000	9				-100 140					3		1	x	6	13	3000							1	8	2	8	
																											11			x		11	1	8	2	8																						1		1	1	1	1									x	x	x	x	x	x	x	x	x	x	strong		x	x	x	x	x	x	x	x	x	x	x	20000	30000	1	15000	20000	6	10000	15000	9				0 40					3		1	x	7	11	6000							1	8	2	8	
																											12			x		11	1	8	2	8																									1	1										x	x	x	x	x	x	x	x	x	x	strong		x	x	x	x	x	x	x	x	x	x	x	20000	30000	1	15000	20000	6	10000	15000	9				100 -60					3		1	x	7	12	3000							1	8	2	8	
																											13			x		11	1	8	2	8																						1		1												x	x	x	x	x	x	x	x	x	x	strong		x	x	x	x	x	x	x	x	x	x	x	20000	30000	1	15000	20000	6	10000	15000	9				100 140					3		1	x	7	13	3000							1	8	2	8	
																																																																																																																				8	9	3000							1	8	2	8	
																																																																																																																				8	11	6000							1	8	2	8	
																																																																																																																				8	12	3000							1	8	2	8	
																																																																																																																				9	10		x						1	8	2	8	
																																																																																																																				9	12		x						1	8	2	8	
																																																																																																																				10	13		x						1	8	2	8	
																																																																																																																				12	13		x						1	8	2	8	
														8SM0f	8	99	+57 +58 +59 +83 +126 +127 +128 +161 				+15 0 d d d d +27 0 d d d d +37 0 d d d d +80 0 d d d d +35 0 d d d d +16 23 d d d d +16 25 d d d d +16 28 d d d d +145 0 d d d d +10 n 15000 d d d +13 0 d d d d +13 1 d d d d +13 2 d d d d 				x		1	x				20	1	8	7	8	1		1								x	x	x	x	x	x	x	x	x	x	1		1												x											weak		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				-160 80					3		1	x	1	9	6000							1	8	7	8	
																											2	x				20	1	8	7	8	3		1								x	x	x	x	x	x	x	x	x	x	1		1												x											weak		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				-40 -40					3		1	x	1	10	6000							1	8	7	8	
																											3	x				20	1	8	7	8	2		1								x	x	x	x	x	x	x	x	x	x	1		1												x											weak		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				80 80					3		1	x	2	9	6000							1	8	7	8	
																											4	x				20	1	8	7	8	4		1								x	x	x	x	x	x	x	x	x	x	1		1												x											weak		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				-40 200					3		1	x	2	11	6000							1	8	7	8	
																											5	x				20	1	8	7	8	5		1								x	x	x	x	x	x	x	x	x	x	1		1												x											weak		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				-180 -60					3		1	x	3	11	6000							1	8	7	8	
																											6	x				20	1	8	7	8	6		1								x	x	x	x	x	x	x	x	x	x	1		1												x											weak		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				100 -60					3		1	x	3	12	6000							1	8	7	8	
																											7	x				20	1	8	7	8	7		1								x	x	x	x	x	x	x	x	x	x	1		1												x											weak		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				100 220					3		1	x	4	10	6000							1	8	7	8	
																											8	x				20	1	8	7	8	8		1								x	x	x	x	x	x	x	x	x	x	1		1												x											weak		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				-180 220					3		1	x	4	12	6000							1	8	7	8	
																											9			x		20	1	8	7	8																						1		1	1	1										x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	20000	30000	1	15000	20000	6	10000	15000	9				-120 0					3		1	x	5	9	6000							1	8	7	8	
																											10			x		20	1	8	7	8																						1		1	1	1	1									x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	20000	30000	1	15000	20000	6	10000	15000	9				-120 160					3		1	x	6	11	6000							1	8	7	8	
																											11			x		20	1	8	7	8																						1		1	1	1	1									x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	20000	30000	1	15000	20000	6	10000	15000	9				40 0					3		1	x	7	12	6000							1	8	7	8	
																											12			x		20	1	8	7	8																						1		1	1	1										x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	20000	30000	1	15000	20000	6	10000	15000	9				40 160					3		1	x	8	10	6000							1	8	7	8	
														8MM6	25	99	+57 +58 +59 +83 +126 +127 +128 +161 				+15 0 d d d d +27 0 d d d d +37 0 d d d d +80 0 d d d d +35 0 d d d d +16 23 d d d d +16 25 d d d d +16 28 d d d d +145 0 d d d d +10 n 15000 d d d +13 0 d d d d +13 1 d d d d +13 2 d d d d 				x		1	x				20	1	8	2	8	1		1								x	x	x	x	x	x	x	x	x	x	1		1												x											avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				-240 240					3		1	x	1	15	3000							1	8	2	8	
																											2	x				20	1	8	2	8	8		1								x	x	x	x	x	x	x	x	x	x	1		1												x											avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				30 40					3		1	x	1	19	3000							1	8	2	8	
																											3	x				20	1	8	2	8	5		1								x	x	x	x	x	x	x	x	x	x	1		1												x											avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				-120 240					3		1	x	2	16	3000							1	8	2	8	
																											4	x				20	1	8	2	8	4		1								x	x	x	x	x	x	x	x	x	x	1		1												x											avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				30 160					3		1	x	2	20	3000							1	8	2	8	
																											5	x				20	1	8	2	8	3		1								x	x	x	x	x	x	x	x	x	x	1		1												x											avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				-390 160					3		1	x	3	15	3000							1	8	2	8	
																											6	x				20	1	8	2	8	6		1								x	x	x	x	x	x	x	x	x	x	1		1												x											avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				-120 -40					3		1	x	3	19	3000							1	8	2	8	
